id;clave;descripcion;idsubgrupo
1;Home Loan Account orange Synergized;Savings Account;40720
2;salmon Checking Account;Borders Beauty Cambridgeshire;56514
3;Handcrafted Ball Soap;Sleek Car Incredible;97716
4;Handcrafted Fresh Computer Cotton;orange Engineer Uruguay;42292
5;Fantastic;Chief;52133
6;Philippine Peso Cambridgeshire;Mobility Village Borders;48911
7;invoice;Monitored;88157
8;Manager;Bedfordshire;90632
9;quantifying;Handcrafted Fresh Sausages;1006
10;blue Cape Verde Escudo e-services;Credit Card Account parse Visionary;24407
